key,cn,en,zh-tw
fieldValue.upgrade_profit,"升级礼金","Upgrading Reward","升级礼金"
fieldValue.weekly_profit,"每週礼金","Weekly Bonus","每週礼金"
fieldValue.monthly_profit,"每月礼金","Monthly Bonus","每月礼金"
fieldValue.birthday_profit,"生日礼金","Birthday Bonus","生日礼金"
fieldValue.attendance_profit,"出席礼金","Participation Bonus","出席礼金"
fieldValue.sport_rebate,"体育返水","Sports Rebate","体育返水"
fieldValue.real_rebate,"真人返水","Live Rebate","真人返水"
fieldValue.lottery_rebate,"彩票返水","Lottery Rebate","彩票返水"
fieldValue.chess_rebate,"棋牌返水","Arcade Rebate","棋牌返水"
fieldValue.electronic_rebate,"电子返水","Slot Rebate","电子返水"
fieldValue.fish_rebate,"捕鱼返水","Fish Rebate","捕鱼返水"
fieldValue.manaul_giveaway,"赠送彩金","Giveaway Bonus","赠送彩金"
fieldValue.Approving,"审核中","Reviewing","审核中"
fieldValue.Success,"成功","Success","成功"
fieldValue.Failed,"失败","Failed","失败"
fieldValue.PendingApproval,"待审核","Pending Review","待审核"
fieldValue.Online,"在线","Online","在线"
fieldValue.Idle,"闲置","Inactive","闲置"
fieldValue.Offline,"离线","Offline","离线"
fieldValue.gamemgt_maintainence,"维护","Maintenance","维护"
fieldValue.gamemgt_online,"运营","Operating","运营"
fieldValue.gamemgt_offline,"下架","Offline","下架"
fieldValue.Pending,"待处理","Pending For Processing","待处理"
fieldValue.Handled,"已处理","Processed","已处理"
fieldValue.NoLogin,"不可登录","Unable to Login","不可登录"
fieldValue.NoTransaction,"资金冻结","Frozen Deposit","资金冻结"
fieldValue.NoTransactionButBet,"只可投注","Bet Only","只可投注"
fieldValue.FreezeNoLogin,"不可登录","Unable to Login","不可登录"
fieldValue.FreezeNoTransaction,"资金冻结","Frozen Deposit","资金冻结"
fieldValue.FreezeNoTransactionButBet,"只可投注","Bet Only","只可投注"
separateField.levelKey,"第 {{value}} 層","Level {{value}} ","第 {{value}} 層"
placeholder.title,"请输入标题","Please enter the title.","请输入标题"
placeholder.link,"请依照规则输入链接","Please enter the link according to the rules.","请依照规则输入链接"
placeholder.remark,"请输入备注","Please enter the remarks.","请输入备注"
placeholder.keyword,"请输入关键字","Please enter key words.","请输入关键字"
placeholder.integer,"请输入正整数","Please enter the positive integer.","请输入正整数"
placeholder.platformID,"请选择现合网","Please select the opt site.","请选择现合网"
placeholder.engIntInput,"请以英文逗号分开多个输入值","Please separate multiple input values ​​in English comma.","请以英文逗号分开多个输入值"
placeholder.account,"请输入登录账号","Please enter the login account.","请输入登录账号"
placeholder.announcementTag,"请输入公告标签名称","Please enter the announcement tag name.","请输入公告标签名称"
placeholder.order,"请输入排序值","Please enter the sort value.","请输入排序值"
placeholder.usernames,"请输入会员账号","Please enter the member account.","请输入会员账号"
placeholder.deviceID,"请输入设备号","Please enter the device no.","请输入设备号"
placeholder.bankAccount,"请输入银行卡号","Please enter the bank card no.","请输入银行卡号"
placeholder.walletAddress,"请输入钱包地址","Please enter the wallet address.","请输入钱包地址"
placeholder.ip,"请输入IP地址","Please enter the IP address.","请输入IP地址"
placeholder.content,"请输入内容","Please enter the content.","请输入内容"
login.zh-CN,"简体中文","简体中文","简体中文"
login.zh-TW,"繁體中文","繁體中文","繁體中文"
login.en-US,"English","English","English"
login.login,"登入","Login","登入"
login.account,"帐户","Account","帐户"
login.password,"密码","Password","密码"
button_upload_image,"上传图片","Upload Photo","上传图片"
button_upload_attachment,"上传凭证","Upload Proof","上传凭证"
